net,length_um
top_I.branch\[9\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[9\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[9\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[9\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[9\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.l_addr\[0\],9.64µm
top_I.branch\[5\].check_mask.l_addr\[0\],9.64µm
top_I.branch\[8\].check_mask.l_addr\[0\],9.64µm
top_I.branch\[9\].check_mask.l_addr\[0\],9.64µm
top_I.branch\[14\].check_mask.l_addr\[0\],8.8µm
top_I.branch\[15\].check_mask.l_addr\[0\],8.8µm
top_I.branch\[2\].check_mask.l_addr\[1\],8.8µm
top_I.branch\[3\].check_mask.l_addr\[1\],8.8µm
top_I.branch\[0\].check_mask.l_addr\[0\],8.6µm
top_I.branch\[1\].check_mask.l_addr\[0\],8.6µm
top_I.branch\[13\].check_mask.l_addr\[0\],8.28µm
top_I.branch\[16\].check_mask.l_addr\[0\],7.72µm
top_I.branch\[17\].check_mask.l_addr\[0\],7.72µm
top_I.branch\[10\].check_mask.l_addr\[1\],7.44µm
top_I.branch\[18\].check_mask.l_addr\[1\],7.44µm
top_I.branch\[19\].check_mask.l_addr\[1\],7.44µm
top_I.branch\[7\].check_mask.l_addr\[0\],7.44µm
top_I.branch\[10\].check_mask.l_addr\[0\],6µm
top_I.branch\[18\].check_mask.l_addr\[0\],6µm
top_I.branch\[19\].check_mask.l_addr\[0\],6µm
top_I.branch\[13\].check_mask.l_addr\[1\],5.16µm
top_I.branch\[7\].check_mask.l_addr\[2\],5.16µm
top_I.branch\[2\].check_mask.l_addr\[0\],5.12µm
top_I.branch\[3\].check_mask.l_addr\[0\],5.12µm
top_I.branch\[4\].check_mask.l_addr\[1\],4.28µm
top_I.branch\[5\].check_mask.l_addr\[1\],4.28µm
top_I.branch\[16\].check_mask.l_addr\[3\],4.2µm
top_I.branch\[17\].check_mask.l_addr\[3\],4.2µm
top_I.branch\[0\].check_mask.block\[0\].um_I.pg_ena,3.79µm
top_I.branch\[0\].check_mask.block\[1\].um_I.pg_ena,3.79µm
top_I.branch\[10\].check_mask.block\[0\].um_I.pg_ena,3.79µm
top_I.branch\[10\].check_mask.block\[2\].um_I.pg_ena,3.79µm
top_I.branch\[16\].check_mask.block\[11\].um_I.pg_ena,3.79µm
top_I.branch\[16\].check_mask.block\[1\].um_I.pg_ena,3.79µm
top_I.branch\[16\].check_mask.block\[3\].um_I.pg_ena,3.79µm
top_I.branch\[16\].check_mask.block\[5\].um_I.pg_ena,3.79µm
top_I.branch\[16\].check_mask.block\[7\].um_I.pg_ena,3.79µm
top_I.branch\[16\].check_mask.block\[9\].um_I.pg_ena,3.79µm
top_I.branch\[0\].check_mask.block\[0\].um_I.clk,3.78µm
top_I.branch\[0\].check_mask.block\[0\].um_I.ena,3.78µm
top_I.branch\[0\].check_mask.block\[0\].um_I.iw\[10\],3.78µm
top_I.branch\[0\].check_mask.block\[0\].um_I.iw\[11\],3.78µm
top_I.branch\[0\].check_mask.block\[0\].um_I.iw\[12\],3.78µm
top_I.branch\[0\].check_mask.block\[0\].um_I.iw\[13\],3.78µm
top_I.branch\[0\].check_mask.block\[0\].um_I.iw\[14\],3.78µm
top_I.branch\[0\].check_mask.block\[0\].um_I.iw\[15\],3.78µm
top_I.branch\[0\].check_mask.block\[0\].um_I.iw\[16\],3.78µm
top_I.branch\[0\].check_mask.block\[0\].um_I.iw\[17\],3.78µm
top_I.branch\[0\].check_mask.block\[0\].um_I.iw\[1\],3.78µm
