Instance,Terminal,Layer,X location,Y location,Voltage
IO_FILL_IO_EAST_6_50,vdd,Metal1,3306.2750,1935.0000,1.199998
IO_FILL_IO_EAST_5_170,vdd,Metal1,3306.2750,1768.0000,1.199998
IO_FILL_IO_EAST_5_150,vdd,Metal1,3306.2750,1748.0000,1.199998
IO_FILL_IO_EAST_5_100,vdd,Metal1,3306.2750,1713.0000,1.199998
IO_FILL_IO_EAST_5_50,vdd,Metal1,3306.2750,1663.0000,1.199998
IO_FILL_IO_EAST_4_170,vdd,Metal1,3306.2750,1496.0000,1.199998
IO_FILL_IO_EAST_4_150,vdd,Metal1,3306.2750,1476.0000,1.199998
IO_FILL_IO_EAST_4_100,vdd,Metal1,3306.2750,1441.0000,1.199998
IO_FILL_IO_EAST_4_50,vdd,Metal1,3306.2750,1391.0000,1.199998
IO_FILL_IO_EAST_3_170,vdd,Metal1,3306.2750,1224.0000,1.199998
IO_FILL_IO_EAST_3_150,vdd,Metal1,3306.2750,1204.0000,1.199998
IO_FILL_IO_EAST_3_100,vdd,Metal1,3306.2750,1169.0000,1.199998
IO_FILL_IO_EAST_3_50,vdd,Metal1,3306.2750,1119.0000,1.199998
IO_FILL_IO_EAST_2_170,vdd,Metal1,3306.2750,952.0000,1.199998
IO_FILL_IO_EAST_2_150,vdd,Metal1,3306.2750,932.0000,1.199998
IO_FILL_IO_EAST_2_100,vdd,Metal1,3306.2750,897.0000,1.199998
IO_FILL_IO_EAST_2_50,vdd,Metal1,3306.2750,847.0000,1.199998
IO_FILL_IO_EAST_1_170,vdd,Metal1,3306.2750,680.0000,1.199998
IO_FILL_IO_EAST_1_150,vdd,Metal1,3306.2750,660.0000,1.199998
IO_FILL_IO_EAST_1_100,vdd,Metal1,3306.2750,625.0000,1.199998
IO_FILL_IO_EAST_1_50,vdd,Metal1,3306.2750,575.0000,1.199998
IO_FILL_IO_EAST_0_0,vdd,Metal1,3306.2750,345.0000,1.199998
IO_FILL_IO_EAST_16_0,vdd,Metal1,3306.2750,4605.0000,1.199991
IO_FILL_IO_EAST_15_190,vdd,Metal1,3306.2750,4499.0000,1.199993
IO_FILL_IO_EAST_15_0,vdd,Metal1,3306.2750,4333.0000,1.199995
IO_FILL_IO_EAST_14_190,vdd,Metal1,3306.2750,4227.0000,1.199996
IO_FILL_IO_EAST_14_0,vdd,Metal1,3306.2750,4061.0000,1.199998
IO_FILL_IO_EAST_13_190,vdd,Metal1,3306.2750,3955.0000,1.199999
IO_FILL_IO_EAST_13_0,vdd,Metal1,3306.2750,3789.0000,1.199998
IO_FILL_IO_EAST_12_190,vdd,Metal1,3306.2750,3683.0000,1.199998
IO_FILL_IO_EAST_12_0,vdd,Metal1,3306.2750,3517.0000,1.199998
IO_FILL_IO_EAST_11_190,vdd,Metal1,3306.2750,3411.0000,1.199997
IO_FILL_IO_EAST_11_0,vdd,Metal1,3306.2750,3245.0000,1.199997
IO_FILL_IO_EAST_10_190,vdd,Metal1,3306.2750,3139.0000,1.199997
IO_FILL_IO_EAST_10_0,vdd,Metal1,3306.2750,2973.0000,1.199997
